Code,Name,EventDate,Detected,FirstFlagDate,LeadDaysApprox
048260,오스템임플란트,2022-02-18,False,,
140410,메지온,2026-03-17,False,,
067630,HLB생명과학,2025-03-21,True,2025-02-20,20.0
215600,신라젠,2022-01-03,False,,
121800,비덴트,2022-08-17,True,2022-07-19,20.0
121800,비덴트,2023-04-03,False,,
121800,비덴트,2025-04-02,False,,
151910,SBW생명과학,2023-03-23,False,,
151910,SBW생명과학,2024-04-29,False,,
068240,다원시스,2026-03-24,False,,
182400,엔케이맥스,2024-04-08,False,,
268600,셀리버리,2023-03-24,True,2023-03-22,2.0
101730,위메이드맥스,2022-01-03,False,,
047820,초록뱀미디어,2023-08-31,False,,
092040,아미코젠,2025-04-24,False,,
136510,에디슨EV,2022-03-30,True,2022-03-28,2.0
088800,에이스테크,2024-08-16,False,,
377030,비트맥스,2026-03-17,True,2026-02-20,16.0
287410,제이시스메디칼,2024-10-24,False,,
294090,이오플로우,2025-03-24,False,,
230360,에코마케팅,2026-06-16,False,,
092190,서울바이오시스,2026-03-19,True,2026-02-20,18.0
950160,코오롱티슈진,2022-01-03,False,,
078130,국일제지,2023-03-15,True,2023-03-06,7.0
078130,국일제지,2024-04-05,False,,
085370,루트로닉,2022-01-03,False,,
085370,루트로닉,2023-10-16,True,2023-09-13,18.0
102940,코오롱생명과학,2022-01-03,False,,
013120,동원개발,2024-03-18,True,2024-03-11,5.0
003800,에이스침대,2022-04-18,True,2022-04-12,4.0
059090,미코,2023-03-31,True,2023-03-03,20.0
347860,알체라,2024-03-28,True,2024-03-20,6.0
183490,엔지켐생명과학,2026-03-24,True,2026-02-23,20.0
083790,CG인바이츠,2023-08-16,False,,
185490,아이진,2022-04-01,False,,
029960,코엔텍,2025-06-02,False,,
035890,서희건설,2025-09-24,False,,
119610,인터로조,2024-04-05,True,2024-03-13,17.0
241820,피씨엘,2022-03-31,True,2022-03-30,1.0
241820,피씨엘,2025-03-25,True,2025-02-26,18.0
036630,세종텔레콤,2022-08-17,False,,
175250,아이큐어,2025-09-18,False,,
245620,EDGC,2024-04-09,False,,
119860,커넥트웨이브,2024-09-09,True,2024-08-14,17.0
263050,유틸렉스,2026-02-25,True,2026-01-23,20.0
214870,뉴지랩파마,2023-03-15,True,2023-03-06,7.0
237880,클리오,2022-03-24,False,,
138580,비즈니스온,2024-11-11,False,,
038880,아이에이,2025-08-14,True,2025-07-30,11.0
208640,썸에이지,2022-01-03,False,,
066410,버킷스튜디오,2023-04-03,False,,
066410,버킷스튜디오,2025-05-09,True,2025-04-10,18.0
166480,코아스템켐온,2023-08-16,True,2023-07-26,14.0
258830,세종메디칼,2024-04-01,True,2024-03-04,20.0
114810,아이원스,2022-04-08,False,,
288330,브릿지바이오테라퓨틱스,2025-03-24,True,2025-03-11,9.0
097780,에스맥,2022-03-23,True,2022-02-24,17.0
144960,뉴파워프라즈마,2022-03-23,True,2022-02-23,18.0
284620,카이노스메드,2025-03-24,True,2025-03-12,8.0
049180,셀루메드,2025-03-24,True,2025-03-17,5.0
115180,큐리언트,2022-01-03,False,,
150840,인트로메딕,2022-03-15,True,2022-02-15,18.0
174900,앱클론,2025-03-25,True,2025-03-04,15.0
179900,유티아이,2026-03-24,False,,
052020,에스티큐브,2024-03-21,False,,
044490,태웅,2022-01-03,False,,
195990,에이비프로바이오,2025-08-18,True,2025-08-11,4.0
096040,이트론,2023-07-14,True,2023-07-13,1.0
036710,심텍홀딩스,2025-12-10,False,,
040910,아이씨디,2025-03-21,False,,
244460,올리패스,2023-08-16,False,,
298060,에스씨엠생명과학,2025-03-24,True,2025-03-14,6.0
298060,에스씨엠생명과학,2026-03-18,True,2026-02-24,15.0
318020,포인트모바일,2022-03-30,False,,
263920,휴온스블러썸,2022-01-03,False,,
180400,캔서롭,2022-01-03,False,,
180400,DXVX,2025-03-21,False,,
060240,스타코링크,2024-10-22,False,,
290720,푸드나무,2025-03-21,True,2025-03-14,5.0
104620,노랑풍선,2022-03-24,True,2022-03-08,11.0
082210,옵트론텍,2025-03-24,True,2025-02-21,20.0
294140,레몬,2023-08-14,True,2023-07-21,16.0
294140,레몬,2026-03-23,True,2026-02-27,15.0
340930,유일에너테크,2026-04-01,False,,
018700,바른손,2026-03-20,True,2026-02-20,19.0
078590,OQP,2022-01-03,False,,
078590,디아크,2022-04-13,False,,
068330,일신바이오,2022-04-08,True,2022-03-21,14.0
215090,휴센텍,2022-03-23,False,,
208340,파멥신,2024-03-07,False,,
082800,비보존 헬스케어,2022-08-17,True,2022-07-21,18.0
053290,NE능률,2025-03-19,True,2025-03-07,8.0
088290,이원컴포텍,2026-03-24,False,,
052420,오성첨단소재,2022-03-24,True,2022-03-03,14.0
304840,피플바이오,2025-08-18,True,2025-07-24,16.0
007330,푸른저축은행,2026-04-07,False,,
352770,셀레스트라,2025-04-07,True,2025-03-20,12.0
071200,인피니트헬스케어,2025-12-01,False,,
297090,씨에스베어링,2026-03-19,True,2026-02-19,19.0
196490,디에이테크놀로지,2022-03-24,True,2022-03-23,1.0
196490,디에이테크놀로지,2024-04-24,True,2024-03-27,19.0
072520,제넨바이오,2022-03-22,False,,
072520,제넨바이오,2023-04-10,True,2023-03-22,13.0
060900,대한그린파워,2022-01-03,False,,
068790,DMS,2025-03-24,True,2025-03-12,8.0
214610,더바이오메드,2025-08-18,True,2025-08-14,1.0
176440,에이치엔티,2022-01-03,False,,
306620,네온테크,2022-11-15,True,2022-10-20,18.0
029480,광무,2022-03-21,False,,
057880,피에이치씨,2022-03-23,False,,
138360,협진,2022-01-03,False,,
035610,솔본,2026-03-23,True,2026-03-04,13.0
043220,티에스넥스젠,2025-04-01,True,2025-03-11,15.0
068940,셀피글로벌,2023-03-22,True,2023-03-02,14.0
067390,아스트,2023-08-14,True,2023-07-17,20.0
073640,테라사이언스,2023-08-16,True,2023-08-04,7.0
024950,삼천리자전거,2026-02-27,False,,
014200,광림,2023-03-27,False,,
241770,메카로,2022-01-03,False,,
168330,내츄럴엔도텍,2022-01-03,False,,
168330,내츄럴엔도텍,2026-03-17,False,,
276730,한울앤제주,2026-03-19,True,2026-02-13,20.0
054220,비츠로시스,2022-01-03,False,,
040350,크레오에스지,2025-08-18,True,2025-07-30,12.0
950170,JTC,2022-05-30,False,,
053450,세코닉스,2022-01-03,False,,
200780,비씨월드제약,2022-08-17,False,,
200780,비씨월드제약,2023-03-23,True,2023-03-14,7.0
071460,위니아,2023-08-16,True,2023-07-27,13.0
019590,엠벤처투자,2024-03-20,True,2024-03-15,3.0
033200,모아텍,2024-01-02,True,2023-12-27,2.0
033200,모아텍,2024-06-20,True,2024-05-30,14.0
290520,신도기연,2025-03-24,False,,
024810,이화전기,2023-07-14,False,,
090710,휴림로봇,2023-04-10,False,,
312610,에이에프더블류,2026-03-12,True,2026-03-04,6.0
053590,한국테크놀로지,2022-03-24,True,2022-03-10,10.0
053590,한국테크놀로지,2023-03-24,False,,
078860,엔에스이엔엠,2025-03-20,True,2025-02-20,19.0
101930,인화정공,2023-08-16,True,2023-07-27,13.0
227950,엔투텍,2022-09-28,True,2022-09-01,17.0
203690,아크솔루션스,2025-03-14,False,,
230980,비유테크놀러지,2024-03-22,False,,
109960,AP헬스케어,2025-03-14,False,,
